,sistema_costeiro,bioma,area,populacao,temp_media,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,n_pertence,mata_atlantica,172.173,24922,22.00,981.39,971.85,1116.03,1184.45,1336.22,1363.31,1440.27,1561.62,1651.43,1649.56,1683.18,1758.74,1837.85,1825.80,1879.64
,n_pertence,mata_atlantica,331.766,9964,22.00,221.73,217.04,233.11,256.22,269.34,282.18,304.94,326.34,371.55,357.52,413.90,407.93,418.64,399.56,446.12
,n_pertence,mata_atlantica,267.514,46757,22.00,1383.41,1346.78,1509.06,1709.50,1870.83,1952.37,2072.43,2217.21,2290.85,2272.20,2265.42,2458.28,2408.65,2488.50,2789.39
,n_pertence,mata_atlantica,100.630,5196,22.00,121.07,128.48,140.35,154.91,167.04,172.08,175.90,184.17,209.15,201.50,222.59,212.00,233.39,212.50,251.93
,n_pertence,mata_atlantica,206.196,4692,22.00,57.34,57.88,65.04,74.96,85.27,90.87,111.14,138.13,164.46,171.35,192.45,222.83,284.47,257.49,304.84
,n_pertence,mata_atlantica,216.581,22820,22.00,845.27,885.53,902.53,988.89,1085.41,1062.79,1157.50,1237.19,1264.62,1209.44,1292.20,1301.09,1381.47,1236.23,1380.23
,n_pertence,mata_atlantica,146.009,1952,22.00,24.39,28.24,28.64,34.40,39.31,37.87,40.11,43.18,42.50,47.73,51.01,53.54,52.37,54.78,62.04
,n_pertence,mata_atlantica,156.439,3154,22.00,77.27,84.75,85.03,86.37,92.59,95.49,100.17,117.65,119.01,105.70,120.84,124.57,144.12,130.08,150.67
,n_pertence,mata_atlantica,247.102,19238,22.00,757.36,746.08,835.55,883.93,961.01,1010.82,1048.11,1128.91,1203.30,1185.28,1252.23,1242.57,1298.61,1276.61,1373.49
,n_pertence,mata_atlantica,230.393,58055,22.00,82.36,80.35,86.12,91.34,94.41,102.14,100.01,102.65,109.69,109.30,103.63,99.79,110.25,99.34,117.53
,n_pertence,mata_atlantica,253.024,14531,22.00,461.38,490.83,541.72,568.58,661.48,688.18,735.35,796.65,839.42,1130.53,841.48,885.53,910.34,938.37,1009.56
,Pertence,mata_atlantica,542.238,9764,22.00,440.03,444.77,462.04,484.05,499.61,534.59,560.49,593.62,597.92,598.70,615.42,652.11,675.20,669.68,724.21
,n_pertence,mata_atlantica,181.577,45711,22.00,1726.36,1730.71,1759.44,1939.53,1996.83,2089.17,2310.03,2375.15,2509.19,2431.48,2594.32,2660.15,2788.11,2812.93,3113.84
,Pertence,mata_atlantica,119.113,6284,22.00,102.75,110.51,125.32,132.62,144.00,151.09,164.57,181.58,182.63,170.93,187.11,194.39,212.21,210.81,207.99
,Pertence,mata_atlantica,430.799,72346,22.00,2611.70,2593.38,2828.08,3093.98,3303.39,3427.20,3678.15,3843.54,3938.61,3987.47,4061.65,4188.23,4413.62,4301.68,4610.23
,n_pertence,mata_atlantica,113.986,2979,22.00,50.86,57.63,59.75,63.26,70.34,71.05,71.69,79.17,83.23,75.10,83.38,89.85,86.04,101.26,100.95
,n_pertence,mata_atlantica,155.651,4367,22.00,92.58,94.18,106.65,118.22,133.72,141.22,163.27,182.19,185.09,163.34,172.75,177.11,194.97,180.50,211.74
,n_pertence,mata_atlantica,200.960,9093,22.00,170.16,176.40,208.12,211.27,225.95,243.91,248.80,306.23,335.29,301.22,346.09,353.78,383.59,372.92,420.39
,n_pertence,mata_atlantica,261.081,7643,22.00,51.03,48.51,53.85,60.71,68.26,72.76,73.21,82.17,87.79,83.52,92.10,103.02,106.17,103.59,115.67
,n_pertence,mata_atlantica,245.921,7647,22.00,169.14,165.19,178.33,189.54,204.07,216.70,216.95,254.20,259.75,252.98,292.95,302.86,316.58,289.23,348.84
,n_pertence,mata_atlantica,165.147,3901,22.00,53.68,59.06,61.27,69.51,73.10,75.72,90.08,100.13,108.06,92.68,102.39,106.67,114.09,110.59,116.85
,n_pertence,mata_atlantica,325.862,10575,22.00,228.81,233.61,245.94,277.32,309.95,323.97,338.86,372.25,383.18,377.84,417.22,415.95,457.55,434.29,469.81
,n_pertence,mata_atlantica,77.912,1887,22.00,29.63,31.05,31.88,36.58,36.52,38.06,42.64,46.08,51.95,44.85,48.93,54.38,57.49,55.48,58.75
,n_pertence,mata_atlantica,589.698,11354,22.00,145.88,140.20,163.76,183.49,197.35,198.84,204.45,238.75,243.49,216.71,243.08,253.06,271.92,282.01,282.87
,n_pertence,mata_atlantica,166.265,6091,22.00,185.95,192.82,200.79,234.47,249.49,265.05,282.29,298.90,314.71,291.85,325.95,321.42,348.37,318.40,352.13
,n_pertence,mata_atlantica,1297.543,21889,22.00,375.57,371.75,405.50,446.33,478.44,484.65,516.44,561.48,590.49,591.99,635.61,641.19,690.17,667.23,728.89
,n_pertence,mata_atlantica,289.215,226617,22.00,9932.38,9696.88,10450.53,11613.83,12329.48,12881.15,13486.69,14347.52,14998.35,15356.50,15405.87,15987.02,16719.14,17143.45,18690.49
,n_pertence,mata_atlantica,58.210,69323,22.00,3148.51,3078.06,3357.18,3782.16,3941.92,4009.66,4397.36,4764.30,4828.99,7019.77,5301.32,5473.38,5864.77,6369.35,7071.98
,Pertence,mata_atlantica,281.782,17139,22.00,379.89,389.64,413.90,454.24,502.51,524.21,548.46,592.06,619.05,605.84,650.86,662.68,693.12,673.12,731.01
,Pertence,mata_atlantica,245.394,21766,22.00,756.33,777.16,883.32,1006.18,1144.39,1123.36,1254.37,1454.24,1550.69,1624.43,1693.89,1809.36,1985.03,2065.45,2411.73
,n_pertence,mata_atlantica,336.588,25619,22.00,736.38,759.88,798.58,894.75,954.11,1026.73,1065.12,1187.74,1252.38,1230.61,1323.42,1356.73,1441.81,1374.08,1458.19
,n_pertence,mata_atlantica,182.483,3899,22.00,83.40,78.57,88.10,94.91,98.82,103.08,107.02,124.07,129.62,126.37,138.05,141.27,163.06,143.13,165.78
,n_pertence,mata_atlantica,430.704,10337,22.00,0.04,0.08,3.38,1.44,2.01,2.18,1.36,3.80,3.25,3.31,4.09,4.87,6.03,5.37,5.55
,Pertence,mata_atlantica,326.362,20547,22.00,620.03,643.95,659.72,707.50,757.85,841.75,913.44,979.81,982.97,981.52,942.96,1074.21,1138.49,1155.20,1303.51
,n_pertence,mata_atlantica,530.894,184579,22.00,7486.21,7590.45,8123.45,8853.32,9588.30,9745.79,10334.59,11048.46,11142.18,11052.93,11433.44,11583.13,12139.15,11963.03,12816.14
,n_pertence,mata_atlantica,68.499,1520,22.00,35.19,35.92,36.09,41.56,44.62,49.52,53.17,54.75,57.35,53.92,57.99,64.83,65.96,64.23,77.92
,n_pertence,mata_atlantica,241.637,30684,22.00,1540.16,1594.95,1650.00,1802.59,1870.12,1911.91,1954.21,2060.12,2108.24,2001.48,2274.55,2141.10,2244.69,2082.69,2374.55
,Pertence,mata_atlantica,1127.947,604708,22.00,28813.79,27422.97,30425.94,32137.50,35530.19,34799.46,36932.98,38864.02,40849.86,40037.80,41186.20,41809.52,44592.66,42726.99,45905.79
,n_pertence,mata_atlantica,405.552,5019,22.00,72.99,63.13,75.22,88.15,101.80,107.19,120.04,132.51,145.97,144.77,144.10,150.91,162.53,161.27,165.85
,n_pertence,mata_atlantica,91.448,2083,22.00,27.98,30.03,33.17,39.10,44.11,46.12,47.69,50.44,54.02,54.84,60.94,64.16,70.74,66.43,80.07
,n_pertence,mata_atlantica,69.036,2248,22.00,58.14,56.77,58.04,62.26,68.14,75.41,80.16,83.15,81.50,80.52,88.04,92.83,91.13,88.28,101.41
,n_pertence,mata_atlantica,2637.660,157158,22.00,7482.63,7724.53,7931.07,8400.10,8950.98,8938.91,9159.54,9926.77,10399.25,9903.34,11062.29,10777.67,11174.30,10100.57,11232.42
,Pertence,mata_atlantica,333.260,46424,22.00,2695.42,2667.67,2974.39,3045.65,2993.59,3306.07,3516.91,3228.47,3285.41,3162.21,3086.85,3209.72,3302.21,3328.91,3654.31
,n_pertence,mata_atlantica,65.348,1408,22.00,222.54,225.00,239.61,261.86,286.66,319.04,333.84,369.11,410.81,412.47,427.51,450.55,467.18,453.03,477.88
,n_pertence,mata_atlantica,271.852,15380,22.00,527.15,524.20,554.96,601.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,n_pertence,mata_atlantica,941.640,12122,22.00,220.99,215.00,235.93,252.93,268.12,279.15,298.77,324.30,342.92,329.58,332.75,361.29,374.08,358.32,415.82
,n_pertence,mata_atlantica,293.600,2960,22.00,28.90,33.54,37.74,39.50,45.81,47.02,49.35,52.57,57.01,57.24,60.46,57.34,66.09,65.79,67.02
,n_pertence,mata_atlantica,190.171,4530,22.00,88.91,82.71,90.80,99.68,106.49,116.10,120.15,133.74,132.86,126.12,143.10,146.53,153.61,149.42,175.00
,n_pertence,mata_atlantica,197.586,12497,22.00,343.95,327.82,390.47,424.64,457.83,507.35,540.86,577.86,616.20,595.33,627.41,660.33,662.32,662.56,712.03
,n_pertence,mata_atlantica,260.106,13347,22.00,274.22,283.12,330.89,356.25,372.61,413.65,461.77,496.92,543.12,517.61,550.53,591.54,632.59,633.80,670.53
,n_pertence,mata_atlantica,117.099,5683,22.00,235.41,240.51,209.99,285.89,296.98,310.64,325.70,334.70,376.11,355.16,375.64,373.52,394.21,359.24,424.90
,n_pertence,mata_atlantica,261.208,1757,22.00,17.13,19.63,19.95,23.75,24.63,26.92,29.57,34.87,32.71,34.46,35.40,41.07,40.46,39.56,45.80
,n_pertence,mata_atlantica,1404.084,56825,22.00,1917.11,1805.57,1987.71,2079.48,2304.30,2285.98,2477.54,2655.13,2729.45,2641.44,2866.68,2827.03,2944.61,2871.21,3120.72
,n_pertence,mata_atlantica,306.058,3465,22.00,47.29,53.59,51.58,72.68,70.05,70.30,83.87,82.79,95.41,78.05,75.68,82.39,92.08,95.00,99.09
,n_pertence,mata_atlantica,520.816,8209,22.00,96.04,104.83,106.25,118.96,121.94,129.34,141.59,160.78,156.04,144.13,160.25,164.13,179.70,172.05,179.71
,Pertence,mata_atlantica,62.902,7461,22.00,200.11,211.09,294.71,228.37,246.38,276.88,259.86,318.80,310.88,313.59,317.27,350.99,379.19,343.77,376.86
,n_pertence,mata_atlantica,170.339,26463,22.00,751.47,779.45,801.86,921.77,999.08,1024.66,1107.17,1218.06,1272.46,1219.05,1387.77,1403.35,1502.68,1455.15,1655.82
